,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
10,2310,EQS,"Equus Total Return, Inc.",Financial,Asset Management,USA,25.67M,-,1.90,-0.05%,3363,2310,25.67M,-,-,-,-,-,-,-,-,-,-,-,-,1.90,-0.05%,3363,2310,25.67M,-,-,-,80.73,0.76,-,-,-,-,-,-,-,1.90,-0.05%,3363,2310,25.67M,13.52M,7.34M,53.17%,0.34%,2.75%,-,0.02%,0.05,32.32K,1.90,-0.05%,3363,2310,-0.05%,-0.57%,6.09%,60.94%,65.14%,-12.08%,3.78%,3.20%,-,32.32K,0.10,1.90,-0.05%,3363,2310,-,0.06,-0.41%,-0.48%,16.33%,-18.14%,88.03%,49.01,1.90,-0.05%,1.56%,-1.58%,3363
11,2311,EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,5.98B,-,21.45,0.19%,3162330,2311,5.98B,-,-4.70%,-9.10%,-4.30%,0.80,0.80,0.52,0.52,35.20%,-34.60%,-29.00%,May 05/a,21.45,0.19%,3162330,2311,5.98B,-,28.30,-,2.06,0.65,146.82,14.94,22.50%,23.25%,-54.00%,5.00%,5.50%,21.45,0.19%,3162330,2311,5.98B,278.85M,277.29M,0.60%,0.00%,-,-0.99%,5.04%,2.97,4.71M,21.45,0.19%,3162330,2311,3.32%,6.29%,19.30%,48.03%,50.00%,68.76%,3.19%,4.76%,1.90,4.71M,0.67,21.45,0.19%,3162330,2311,1.28,0.93,0.76%,9.98%,29.50%,-7.38%,103.99%,55.00,21.45,0.19%,-0.65%,0.84%,3162330
12,2312,EQWL,Invesco S&P 100 Equal Weight ETF,Financial,Exchange Traded Fund,USA,-,-,80.79,0.67%,2057,2312,-,1.75%,-,-,-,-,-,-,-,-,-,-,-,80.79,0.67%,2057,2312,-,-,-,-,-,-,-,-,-,-,-,-,-,80.79,0.67%,2057,2312,-,-,-,-,-,-,-,-,-,4.62K,80.79,0.67%,2057,2312,1.03%,2.83%,11.50%,19.61%,39.18%,17.89%,0.48%,0.63%,-,4.62K,0.45,80.79,0.67%,2057,2312,-,0.60,1.82%,3.75%,16.72%,-0.18%,47.64%,66.44,80.79,0.67%,-0.13%,0.80%,2057
13,2313,EQX,Equinox Gold Corp.,Basic Materials,Gold,Canada,2.64B,51.92,8.93,1.13%,1068758,2313,2.64B,-,-,-,7.60%,2.30,1.60,0.37,0.39,47.70%,-,-,May 05,8.93,1.13%,1068758,2313,2.64B,51.92,-,-,2.80,1.44,-,-,157.90%,-,15.30%,-,-,8.93,1.13%,1068758,2313,2.64B,242.58M,217.17M,12.88%,0.00%,34.40%,-1.75%,1.98%,3.19,1.35M,8.93,1.13%,1068758,2313,-3.04%,10.25%,10.38%,-14.79%,-6.49%,-13.64%,2.93%,3.72%,-,1.35M,0.79,8.93,1.13%,1068758,2313,0.68,0.32,-0.56%,3.22%,-12.01%,-34.63%,15.67%,49.94,8.93,1.13%,-0.22%,1.36%,1068758
14,2314,ERC,Wells Fargo Advantage Multi-Sector Income Fund,Financial,Asset Management,USA,365.72M,-,13.00,-0.08%,69620,2314,365.72M,8.46%,-,-,-,-,-,-,-,-,-,-,-,13.00,-0.08%,69620,2314,365.72M,-,-,-,12.56,1.07,-,-,-,-,-,-,-,13.00,-0.08%,69620,2314,365.72M,28.13M,-,0.06%,100.18%,25.21%,-,-,0.54,82.00K,13.00,-0.08%,69620,2314,1.33%,1.40%,4.17%,8.06%,17.43%,7.08%,0.92%,1.07%,-,82.00K,0.85,13.00,-0.08%,69620,2314,-,0.15,1.38%,2.58%,8.46%,-4.62%,23.11%,62.38,13.00,-0.08%,-0.08%,0.00%,69620
15,2315,ERESU,East Resources Acquisition Company,Financial,Shell Companies,USA,-,-,10.10,-0.07%,2839,2315,-,-,-,-,-,-,-,-,-,-,-,-,-,10.10,-0.07%,2839,2315,-,-,-,-,-,-,-,-,-,-,-,-,-,10.10,-0.07%,2839,2315,-,-,31.71M,0.01%,-,44.30%,-,0.00%,0.08,7.32K,10.10,-0.07%,2839,2315,0.50%,-0.49%,-7.68%,0.51%,-,-4.45%,1.65%,0.73%,-,7.32K,0.39,10.10,-0.07%,2839,2315,-,0.15,-0.21%,-0.64%,-2.17%,-12.86%,11.97%,46.74,10.10,-0.07%,1.41%,-1.46%,2839
16,2316,ERF,Enerplus Corporation,Energy,Oil & Gas E&P,Canada,1.82B,-,7.12,0.56%,1246142,2316,1.82B,1.40%,-49.70%,-127.60%,-97.70%,0.80,0.80,1.33,1.48,52.50%,-,-,May 07/b,7.12,0.56%,1246142,2316,1.82B,-,5.04,-,2.76,3.16,11.65,6.83,-269.60%,35.12%,10.90%,-,-3.60%,7.12,0.56%,1246142,2316,1.82B,244.07M,215.52M,1.30%,0.00%,28.30%,2.24%,2.31%,2.71,1.84M,7.12,0.56%,1246142,2316,11.95%,22.34%,32.59%,164.68%,136.54%,127.48%,4.23%,4.41%,2.00,1.84M,0.68,7.12,0.56%,1246142,2316,3.18,0.28,12.61%,25.33%,89.90%,-4.56%,318.82%,68.06,7.12,0.56%,-0.28%,0.85%,1246142
17,2317,ERH,Wells Fargo Advantage Utilities and High Income Fund,Financial,Asset Management,USA,132.54M,1099.23,14.29,1.49%,18024,2317,132.54M,5.95%,-,-,-,-,-,-,-,-,-,-,-,14.29,1.49%,18024,2317,132.54M,1099.23,-,-,25.59,1.19,-,-,-,-,-,-,-,14.29,1.49%,18024,2317,132.54M,9.28M,-,0.08%,67.12%,6.64%,-,-,0.37,19.22K,14.29,1.49%,18024,2317,2.07%,2.81%,13.18%,11.12%,5.77%,11.21%,1.04%,1.58%,-,19.22K,0.94,14.29,1.49%,18024,2317,-,0.21,3.61%,5.39%,11.64%,0.78%,28.51%,64.98,14.29,1.49%,0.28%,1.21%,18024
18,2318,ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,Sweden,43.95B,19.70,13.16,0.30%,5240774,2318,43.95B,1.52%,6.80%,21.90%,14.40%,1.30,1.00,0.34,0.39,41.20%,12.40%,8.00%,Apr 21/b,13.16,0.30%,5240774,2318,43.95B,19.70,15.09,1.22,1.58,4.06,8.11,20.87,682.40%,16.42%,5.00%,16.21%,-1.20%,13.16,0.30%,5240774,2318,43.95B,3.33B,3.00B,0.90%,0.00%,9.70%,-2.73%,0.13%,0.62,6.29M,13.16,0.30%,5240774,2318,-1.05%,-3.87%,8.49%,7.43%,36.09%,10.13%,1.16%,1.39%,1.70,6.29M,0.83,13.16,0.30%,5240774,2318,0.41,0.22,-1.45%,-3.05%,6.48%,-14.07%,50.74%,44.07,13.16,0.30%,0.38%,-0.08%,5240774
19,2319,ERIE,Erie Indemnity Company,Financial,Insurance Brokers,USA,9.10B,37.01,194.88,-1.05%,49826,2319,9.10B,2.12%,14.50%,25.40%,20.20%,1.20,1.20,0.08,0.08,12.90%,12.90%,12.10%,Apr 29/a,194.88,-1.05%,49826,2319,9.10B,37.01,31.61,3.70,3.57,8.44,59.77,265.99,-7.40%,7.97%,11.00%,10.00%,11.00%,194.88,-1.05%,49826,2319,9.10B,52.29M,24.75M,0.80%,0.00%,37.20%,1.01%,4.09%,13.67,74.02K,194.88,-1.05%,49826,2319,-3.51%,-7.81%,-16.91%,-11.15%,8.61%,-20.65%,1.93%,2.59%,2.00,74.02K,0.67,194.88,-1.05%,49826,2319,0.40,4.95,-3.21%,-8.93%,-14.49%,-26.95%,13.35%,31.40,194.88,-1.05%,-1.11%,0.06%,49826
0,2320,ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,USA,1.15B,35.04,20.08,0.45%,330609,2320,1.15B,-,16.30%,19.20%,14.90%,12.40,11.50,0.00,0.00,75.00%,29.50%,25.80%,Mar 11/a,20.08,0.45%,330609,2320,1.15B,35.04,52.16,1.75,9.10,6.12,9.58,68.45,139.40%,79.07%,32.50%,20.00%,21.60%,20.08,0.45%,330609,2320,1.15B,56.88M,41.82M,13.70%,-15.48%,56.50%,-1.86%,5.84%,4.68,521.59K,20.08,0.45%,330609,2320,7.09%,-3.51%,22.66%,81.23%,136.79%,47.21%,2.44%,4.55%,1.70,521.59K,0.63,20.08,0.45%,330609,2320,1.24,0.73,8.97%,5.35%,45.27%,-10.44%,200.15%,61.49,20.08,0.45%,0.40%,0.05%,330609
1,2321,ERJ,Embraer S.A.,Industrials,Aerospace & Defense,Brazil,2.60B,-,13.68,0.96%,1563796,2321,2.60B,-,-4.90%,-18.40%,-5.20%,2.40,1.40,1.51,1.65,12.20%,-8.40%,-14.40%,Apr 29/b,13.68,0.96%,1563796,2321,2.60B,-,46.53,-,0.67,0.83,0.96,-,-174.50%,137.70%,-12.62%,4.08%,-0.70%,13.68,0.96%,1563796,2321,2.60B,183.76M,175.18M,12.40%,0.00%,41.30%,16.43%,3.17%,1.50,3.70M,13.68,0.96%,1563796,2321,1.56%,17.63%,50.83%,111.11%,95.43%,100.88%,3.46%,4.37%,3.10,3.70M,0.42,13.68,0.96%,1563796,2321,0.97,0.57,8.07%,18.34%,77.79%,-4.27%,245.45%,64.76,13.68,0.96%,-1.30%,2.29%,1563796
2,2322,ERM,EquityCompass Risk Manager ETF,Financial,Exchange Traded Fund,USA,-,-,25.50,0.59%,6,2322,-,0.98%,-,-,-,-,-,-,-,-,-,-,-,25.50,0.59%,6,2322,-,-,-,-,-,-,-,-,-,-,-,-,-,25.50,0.59%,6,2322,-,-,-,-,-,-,-,-,-,1.94K,25.50,0.59%,6,2322,1.23%,3.71%,11.78%,29.01%,51.41%,21.81%,0.04%,0.26%,-,1.94K,0.00,25.50,0.59%,6,2322,-,0.17,2.07%,4.54%,20.76%,0.59%,52.64%,66.49,25.50,0.59%,-0.13%,0.73%,6
3,2323,ERTH,Invesco MSCI Sustainable Future ETF,Financial,Exchange Traded Fund,USA,-,-,74.81,1.46%,37528,2323,-,0.24%,-,-,-,-,-,-,-,-,-,-,-,74.81,1.46%,37528,2323,-,-,-,-,-,-,-,-,-,-,-,-,-,74.81,1.46%,37528,2323,-,-,-,-,-,-,-,-,-,40.64K,74.81,1.46%,37528,2323,1.33%,2.78%,2.51%,8.74%,49.95%,-0.43%,0.86%,1.29%,-,40.64K,0.92,74.81,1.46%,37528,2323,-,1.08,3.67%,1.45%,6.78%,-10.77%,59.57%,58.38,74.81,1.46%,0.66%,0.80%,37528
4,2324,ERUS,iShares MSCI Russia ETF,Financial,Exchange Traded Fund,USA,-,-,44.64,0.77%,45473,2324,-,4.30%,-,-,-,-,-,-,-,-,-,-,-,44.64,0.77%,45473,2324,-,-,-,-,-,-,-,-,-,-,-,-,-,44.64,0.77%,45473,2324,-,-,-,-,-,-,-,-,-,178.15K,44.64,0.77%,45473,2324,3.55%,9.82%,14.34%,20.39%,26.75%,19.71%,0.89%,0.93%,-,178.15K,0.26,44.64,0.77%,45473,2324,-,0.53,5.23%,10.18%,20.01%,0.45%,50.61%,77.64,44.64,0.77%,0.22%,0.54%,45473
5,2325,ERX,Direxion Daily Energy Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,30.01,1.21%,3580004,2325,-,1.50%,-,-,-,-,-,-,-,-,-,-,-,30.01,1.21%,3580004,2325,-,-,-,-,-,-,-,-,-,-,-,-,-,30.01,1.21%,3580004,2325,-,-,-,-,-,-,-,-,-,4.64M,30.01,1.21%,3580004,2325,14.19%,12.23%,9.61%,108.69%,60.83%,109.13%,3.93%,4.75%,-,4.64M,0.77,30.01,1.21%,3580004,2325,-,1.34,10.06%,19.79%,69.53%,0.13%,301.20%,67.08,30.01,1.21%,-0.33%,1.55%,3580004
6,2326,ERY,Direxion Daily Energy Bear 2X Shares,Financial,Exchange Traded Fund,USA,-,-,13.60,-1.16%,605784,2326,-,0.74%,-,-,-,-,-,-,-,-,-,-,-,13.60,-1.16%,605784,2326,-,-,-,-,-,-,-,-,-,-,-,-,-,13.60,-1.16%,605784,2326,-,-,-,-,-,-,-,-,-,1.05M,13.60,-1.16%,605784,2326,-12.99%,-13.21%,-16.97%,-62.30%,-70.22%,-60.68%,4.02%,4.72%,-,1.05M,0.57,13.60,-1.16%,605784,2326,-,0.77,-10.52%,-20.15%,-62.14%,-83.68%,-0.07%,32.06,13.60,-1.16%,0.37%,-1.53%,605784
7,2327,ERYP,ERYTECH Pharma S.A.,Healthcare,Biotechnology,France,116.95M,-,5.41,-2.08%,8502,2327,116.95M,-,-,-,-,-,-,-,-,-,-,-,May 04/a,5.41,-2.08%,8502,2327,116.95M,-,-,-,31.46,4.09,-,-,-,-,-,-,-,5.41,-2.08%,8502,2327,116.95M,21.62M,14.18M,-,-,6.29%,-,0.01%,0.29,7.16K,5.41,-2.08%,8502,2327,-8.44%,-22.82%,-39.21%,-43.21%,-49.13%,-41.39%,5.70%,5.50%,1.70,7.16K,1.19,5.41,-2.08%,8502,2327,-,0.37,-14.32%,-20.24%,-30.98%,-61.22%,8.20%,28.43,5.41,-2.08%,-5.09%,3.17%,8502
8,2328,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,28.23B,22.75,82.04,-0.19%,1478207,2328,28.23B,2.94%,2.80%,8.80%,5.10%,0.60,0.50,1.07,1.29,-,21.80%,13.20%,May 10/b,82.04,-0.19%,1478207,2328,28.23B,22.75,20.06,3.34,3.02,1.98,827.95,-,26.00%,6.45%,5.10%,6.81%,2.30%,82.04,-0.19%,1478207,2328,28.23B,343.68M,342.25M,0.30%,-0.64%,81.00%,0.90%,1.13%,2.55,1.52M,82.04,-0.19%,1478207,2328,1.10%,-1.85%,1.71%,-6.93%,-4.08%,-5.17%,1.76%,1.69%,2.50,1.52M,0.97,82.04,-0.19%,1478207,2328,0.32,1.49,-1.28%,-4.07%,-4.76%,-15.13%,7.05%,43.65,82.04,-0.19%,-0.50%,0.30%,1478207
9,2329,ESBA,"Empire State Realty OP, L.P.",Real Estate,REIT - Diversified,USA,286.14M,31.04,12.20,0.25%,701,2329,286.14M,-,-,-,-,-,-,-,-,-,-,-,-,12.20,0.25%,701,2329,286.14M,31.04,-,-,0.48,1.87,-,-,-,-,-,-,-,12.20,0.25%,701,2329,286.14M,23.45M,-,-,-,3.08%,-,-,0.03,6.45K,12.20,0.25%,701,2329,4.36%,5.72%,9.32%,26.03%,67.58%,33.48%,1.39%,1.20%,-,6.45K,0.11,12.20,0.25%,701,2329,-,0.22,4.28%,6.88%,34.44%,-1.61%,135.07%,61.89,12.20,0.25%,-0.16%,0.41%,701
10,2330,ESBK,Elmira Savings Bank,Financial,Banks - Regional,USA,48.99M,11.65,14.41,2.42%,2747,2330,48.99M,4.16%,0.60%,7.60%,19.20%,-,-,0.57,0.57,-,73.80%,17.40%,Apr 27/a,14.41,2.42%,2747,2330,48.99M,11.65,-,-,2.23,0.99,0.50,-,-17.90%,-,1.20%,-,2.80%,14.41,2.42%,2747,2330,48.99M,3.51M,3.41M,9.40%,0.00%,10.10%,-1.15%,0.01%,0.16,3.17K,14.41,2.42%,2747,2330,4.88%,6.03%,-6.43%,25.30%,14.47%,25.30%,2.11%,1.34%,-,3.17K,0.87,14.41,2.42%,2747,2330,0.67,0.23,4.76%,5.24%,17.95%,-9.94%,39.90%,65.87,14.41,2.42%,1.62%,0.78%,2747
11,2331,ESCA,"Escalade, Incorporated",Consumer Cyclical,Leisure,USA,335.40M,11.60,24.06,-0.29%,18303,2331,335.40M,2.33%,-,-,15.40%,4.10,1.70,0.33,0.00,27.80%,-,-,-,24.06,-0.29%,18303,2331,335.40M,11.60,-,0.77,1.13,2.35,56.85,-,262.70%,-,17.50%,15.00%,11.40%,24.06,-0.29%,18303,2331,335.40M,13.88M,8.81M,12.60%,1.20%,29.40%,-3.87%,3.10%,6.89,39.70K,24.06,-0.29%,18303,2331,-5.13%,7.60%,12.48%,18.81%,109.04%,13.65%,3.28%,3.10%,-,39.70K,0.46,24.06,-0.29%,18303,2331,1.37,0.78,1.98%,7.24%,14.84%,-6.45%,138.22%,54.92,24.06,-0.29%,-1.23%,0.95%,18303
12,2332,ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,USA,2.40B,89.89,91.96,-0.25%,63521,2332,2.40B,0.35%,2.00%,2.80%,3.00%,1.70,1.10,0.03,0.05,38.10%,7.40%,3.90%,May 04/a,91.96,-0.25%,63521,2332,2.40B,89.89,24.81,5.99,3.38,2.41,52.54,28.18,-67.20%,22.95%,-9.30%,15.00%,6.40%,91.96,-0.25%,63521,2332,2.40B,26.04M,25.38M,1.50%,-0.51%,98.60%,1.57%,1.15%,2.62,111.02K,91.96,-0.25%,63521,2332,-2.72%,-15.65%,-13.90%,-6.90%,3.98%,-10.91%,2.20%,2.36%,2.00,111.02K,0.57,91.96,-0.25%,63521,2332,1.05,2.34,-6.48%,-12.72%,-6.92%,-20.61%,18.70%,26.02,91.96,-0.25%,-0.66%,0.41%,63521
13,2333,ESEA,Euroseas Ltd.,Industrials,Marine Shipping,Greece,113.63M,20.49,16.21,-3.11%,54947,2333,113.63M,-,-,-,8.40%,0.30,0.30,1.15,1.71,96.70%,-,-,May 25/a,16.21,-3.11%,54947,2333,113.63M,20.49,2.49,4.10,2.18,2.88,31.56,-,148.10%,57.13%,15.20%,5.00%,7.20%,16.21,-3.11%,54947,2333,113.63M,6.71M,2.64M,34.80%,0.00%,4.30%,-2.27%,1.36%,0.28,129.06K,16.21,-3.11%,54947,2333,4.78%,-8.93%,133.57%,268.41%,507.12%,198.53%,6.19%,10.54%,2.00,129.06K,0.43,16.21,-3.11%,54947,2333,1.12,1.63,-0.76%,15.99%,121.06%,-28.27%,702.48%,52.88,16.21,-3.11%,-4.48%,1.43%,54947
14,2334,ESG,FlexShares STOXX US ESG Impact Index Fund,Financial,Exchange Traded Fund,USA,-,-,103.22,0.93%,1109,2334,-,1.31%,-,-,-,-,-,-,-,-,-,-,-,103.22,0.93%,1109,2334,-,-,-,-,-,-,-,-,-,-,-,-,-,103.22,0.93%,1109,2334,-,-,-,-,-,-,-,-,-,17.75K,103.22,0.93%,1109,2334,0.74%,1.47%,9.80%,15.56%,37.66%,12.88%,0.42%,0.78%,-,17.75K,0.06,103.22,0.93%,1109,2334,-,0.91,1.46%,2.27%,12.73%,-0.34%,43.68%,59.87,103.22,0.93%,0.47%,0.46%,1109
15,2335,ESGC,Eros STX Global Corporation,Communication Services,Entertainment,USA,464.40M,-,1.30,0.00%,3307559,2335,464.40M,-,-,-,-,-,-,-,-,-,-,-,-,1.30,0.00%,3307559,2335,464.40M,-,26.00,-,1.16,-,-,-,-222.20%,145.50%,-11.32%,-,-,1.30,0.00%,3307559,2335,464.40M,357.23M,133.73M,11.31%,0.00%,32.03%,-,9.18%,1.38,8.91M,1.30,0.00%,3307559,2335,7.44%,13.04%,-33.67%,-38.39%,-64.96%,-28.57%,7.43%,10.16%,1.50,8.91M,0.37,1.30,0.00%,3307559,2335,-,0.11,8.24%,-8.17%,-35.51%,-68.67%,30.00%,51.51,1.30,0.00%,0.00%,0.00%,3307559
16,2336,ESGD,iShares ESG Aware MSCI EAFE ETF,Financial,Exchange Traded Fund,USA,-,-,81.92,0.90%,302554,2336,-,1.57%,-,-,-,-,-,-,-,-,-,-,-,81.92,0.90%,302554,2336,-,-,-,-,-,-,-,-,-,-,-,-,-,81.92,0.90%,302554,2336,-,-,-,-,-,-,-,-,-,388.15K,81.92,0.90%,302554,2336,1.35%,3.67%,9.72%,14.30%,31.41%,12.16%,0.43%,0.72%,-,388.15K,0.78,81.92,0.90%,302554,2336,-,0.76,2.25%,3.99%,13.40%,0.31%,39.08%,64.51,81.92,0.90%,0.26%,0.64%,302554
17,2337,ESGE,iShares ESG Aware MSCI EM ETF,Financial,Exchange Traded Fund,USA,-,-,45.76,0.95%,3687822,2337,-,1.29%,-,-,-,-,-,-,-,-,-,-,-,45.76,0.95%,3687822,2337,-,-,-,-,-,-,-,-,-,-,-,-,-,45.76,0.95%,3687822,2337,-,-,-,-,-,-,-,-,-,1.84M,45.76,0.95%,3687822,2337,2.81%,4.71%,4.81%,13.55%,44.08%,9.00%,0.56%,0.93%,-,1.84M,2.00,45.76,0.95%,3687822,2337,-,0.55,4.06%,4.48%,10.91%,-3.40%,48.67%,64.33,45.76,0.95%,0.39%,0.55%,3687822
18,2338,ESGR,Enstar Group Limited,Financial,Insurance - Diversified,Bermuda,5.55B,2.26,248.80,-0.46%,27276,2338,5.55B,-,11.20%,40.20%,19.50%,-,-,0.20,0.20,-,70.10%,76.30%,Mar 01/b,248.80,-0.46%,27276,2338,5.55B,2.26,16.59,0.23,1.75,0.80,9.87,1.57,90.00%,20.00%,46.80%,10.00%,24.10%,248.80,-0.46%,27276,2338,5.55B,21.56M,15.11M,0.60%,0.00%,84.60%,0.04%,0.92%,3.22,43.40K,248.80,-0.46%,27276,2338,-1.20%,-3.02%,1.68%,27.58%,62.83%,21.43%,1.97%,2.22%,-,43.40K,0.63,248.80,-0.46%,27276,2338,0.71,5.51,0.34%,-0.96%,17.83%,-7.55%,69.21%,49.24,248.80,-0.46%,-0.58%,0.12%,27276
19,2339,ESGU,iShares ESG Aware MSCI USA ETF,Financial,Exchange Traded Fund,USA,-,-,96.73,0.93%,1499513,2339,-,1.21%,-,-,-,-,-,-,-,-,-,-,-,96.73,0.93%,1499513,2339,-,-,-,-,-,-,-,-,-,-,-,-,-,96.73,0.93%,1499513,2339,-,-,-,-,-,-,-,-,-,1.03M,96.73,0.93%,1499513,2339,0.81%,1.74%,9.81%,15.03%,37.97%,12.44%,0.63%,0.94%,-,1.03M,1.45,96.73,0.93%,1499513,2339,-,0.93,1.60%,2.44%,12.56%,-0.04%,45.03%,60.38,96.73,0.93%,0.53%,0.40%,1499513
0,2340,ESGV,Vanguard ESG U.S. Stock ETF,Financial,Exchange Traded Fund,USA,-,-,78.08,0.97%,275077,2340,-,1.08%,-,-,-,-,-,-,-,-,-,-,-,78.08,0.97%,275077,2340,-,-,-,-,-,-,-,-,-,-,-,-,-,78.08,0.97%,275077,2340,-,-,-,-,-,-,-,-,-,268.58K,78.08,0.97%,275077,2340,0.54%,1.28%,9.29%,14.60%,39.43%,11.27%,0.70%,1.01%,-,268.58K,1.02,78.08,0.97%,275077,2340,-,0.79,1.44%,1.97%,11.86%,-0.78%,45.41%,58.63,78.08,0.97%,0.68%,0.28%,275077
1,2341,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA,5.83B,38.73,23.47,-0.30%,763754,2341,5.83B,0.85%,3.40%,6.60%,6.00%,3.30,2.60,0.64,0.64,42.50%,14.20%,7.70%,Apr 28/a,23.47,-0.30%,763754,2341,5.83B,38.73,15.98,3.15,2.99,2.47,18.35,27.98,1.30%,8.01%,17.10%,12.30%,-6.10%,23.47,-0.30%,763754,2341,5.83B,247.20M,218.73M,0.50%,-0.12%,97.40%,0.21%,2.26%,2.82,1.75M,23.47,-0.30%,763754,2341,-0.42%,2.53%,26.93%,62.99%,102.33%,32.37%,1.78%,2.45%,2.20,1.75M,0.44,23.47,-0.30%,763754,2341,1.67,0.58,3.12%,11.93%,42.99%,-1.43%,132.84%,63.54,23.47,-0.30%,-0.76%,0.47%,763754
2,2342,ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,Israel,5.76B,23.37,130.32,0.22%,14263,2342,5.76B,1.35%,3.10%,11.00%,9.80%,1.20,0.80,0.18,0.34,24.60%,7.00%,5.20%,May 25/b,130.32,0.22%,14263,2342,5.76B,23.37,15.94,2.14,1.22,2.53,27.63,88.37,3.40%,14.34%,2.60%,10.90%,8.50%,130.32,0.22%,14263,2342,5.76B,44.23M,24.58M,45.70%,0.00%,6.20%,-7.52%,0.55%,5.93,22.80K,130.32,0.22%,14263,2342,-1.27%,-2.59%,-0.79%,6.66%,-12.12%,-0.37%,0.83%,1.16%,2.50,22.80K,0.63,130.32,0.22%,14263,2342,0.84,1.99,-2.33%,-5.43%,-0.04%,-13.82%,17.73%,38.59,130.32,0.22%,-0.08%,0.31%,14263
3,2343,ESML,iShares ESG Aware MSCI USA Small-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,40.12,0.40%,75433,2343,-,0.92%,-,-,-,-,-,-,-,-,-,-,-,40.12,0.40%,75433,2343,-,-,-,-,-,-,-,-,-,-,-,-,-,40.12,0.40%,75433,2343,-,-,-,-,-,-,-,-,-,152.70K,40.12,0.40%,75433,2343,0.50%,1.01%,6.05%,24.83%,56.32%,17.55%,1.01%,1.61%,-,152.70K,0.49,40.12,0.40%,75433,2343,-,0.61,1.72%,1.96%,17.36%,-2.10%,69.57%,56.45,40.12,0.40%,0.17%,0.23%,75433
4,2344,ESNT,Essent Group Ltd.,Financial,Mortgage Finance,Bermuda,5.33B,13.28,47.37,0.32%,307979,2344,5.33B,1.35%,7.80%,10.50%,10.10%,-,-,0.08,0.08,-,50.50%,41.10%,May 07/b,47.37,0.32%,307979,2344,5.33B,13.28,7.80,0.88,5.49,1.35,65.79,7.86,-31.40%,17.51%,17.80%,15.06%,22.00%,47.37,0.32%,307979,2344,5.33B,112.02M,110.00M,2.50%,-2.52%,99.40%,0.40%,3.28%,3.84,939.38K,47.37,0.32%,307979,2344,-2.09%,-8.90%,12.07%,4.32%,33.10%,9.65%,1.74%,2.58%,1.90,939.38K,0.33,47.37,0.32%,307979,2344,1.33,1.14,-0.89%,-2.59%,8.00%,-12.63%,54.02%,43.94,47.37,0.32%,0.40%,-0.08%,307979
5,2345,ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts,USA,40.22M,-,14.95,0.42%,824,2345,40.22M,-,-0.30%,-0.30%,3.30%,4.50,1.90,0.00,0.00,12.10%,-0.40%,-0.30%,May 17/a,14.95,0.42%,824,2345,40.22M,-,-,-,1.31,1.24,3.50,28.73,-50.50%,-,-19.00%,-,3.30%,14.95,0.42%,824,2345,40.22M,2.41M,1.47M,45.58%,-0.03%,14.30%,-0.52%,0.09%,0.12,10.79K,14.95,0.42%,824,2345,0.71%,-2.58%,-21.14%,-27.95%,-21.36%,-20.96%,1.42%,1.81%,3.00,10.79K,0.08,14.95,0.42%,824,2345,0.18,0.30,0.15%,-3.26%,-16.38%,-35.00%,3.17%,46.34,14.95,0.42%,0.07%,0.35%,824
6,2346,ESPO,VanEck Vectors Video Gaming and eSports ETF,Financial,Exchange Traded Fund,USA,-,-,71.15,2.12%,99756,2346,-,0.13%,-,-,-,-,-,-,-,-,-,-,-,71.15,2.12%,99756,2346,-,-,-,-,-,-,-,-,-,-,-,-,-,71.15,2.12%,99756,2346,-,-,-,-,-,-,-,-,-,117.91K,71.15,2.12%,99756,2346,1.31%,3.16%,4.05%,8.34%,50.04%,1.63%,1.15%,1.71%,-,117.91K,0.85,71.15,2.12%,99756,2346,-,1.21,4.23%,2.49%,5.36%,-12.58%,50.42%,58.37,71.15,2.12%,1.61%,0.50%,99756
